Motor, Weight (oz), Cells, kV, Propeller, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Minutes), Ah Flight time (Minutes), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Score = (Thrust*Time), Estimated System Weight (oz), Battery Capacity (Wh), Motor Resistance, I Max, P Max, Outside Diameter, Body Length, Total Shaft Length
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 7x4-SF, 7.0, 4.0, 7.4, 7560, 4.37, 32.3, 185.75851393188856, 185.54023130682168, 0.500625, 28.6, 1.5499226006191953, 92.99535603715171, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 7x5-SF, 7.0, 5.0, 7.4, 7070, 4.89, 36.2, 165.74585635359114, 165.80998176090202, 0.498125, 33.5, 1.3760359116022098, 82.56215469613258, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 7x6-SF, 7.0, 6.0, 7.4, 6470, 5.57, 41.2, 145.63106796116503, 145.5674705225872, 0.463125, 36.8, 1.1240898058252426, 67.44538834951456, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 8x3.8-SF, 8.0, 3.8, 7.4, 6300, 5.79, 42.8, 140.1869158878505, 140.03640946646127, 0.615, 22.7, 1.4369158878504673, 86.21495327102805, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 7x3.5-DD, 7.0, 3.5, 7.4, 8730, 3.04, 22.5, 266.6666666666667, 266.71408250355614, 0.39875, 28.9, 1.7722222222222221, 106.33333333333334, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 8x4-DD, 8.0, 4.0, 7.4, 7210, 4.87, 36.0, 166.66666666666666, 166.49092624451967, 0.58625, 27.3, 1.6284722222222223, 97.70833333333334, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2202/70 , 0.53, 2.0, 1530.0, 8x4.3-SF, 8.0, 4.3, 7.4, 6160, 5.94, 44.0, 136.36363636363637, 136.50013650013648, 0.60625, 25.1, 1.377840909090909, 82.67045454545455, 30.53, 100, 0.336, 6.0, 45.0, 1.06, 0.41, 0.73
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 4.75x4.25-E, 4.75, 4.25, 7.4, 15392, 8.98, 66.4, 90.36144578313252, 90.29073617046889, 0.47625, 65.6, 0.7172439759036144, 43.03463855421686, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 4.75x4.75-E, 4.75, 4.75, 7.4, 15107, 9.6, 71.0, 84.50704225352112, 84.45945945945945, 0.4675, 68.0, 0.6584507042253521, 39.50704225352113, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5x5-E, 5.0, 5.0, 7.4, 14477, 10.77, 79.7, 75.28230865746549, 75.28419784687193, 0.4625, 68.5, 0.5803011292346298, 34.818067754077795, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5.25x4.75-E, 5.25, 4.75, 7.4, 13988, 11.63, 86.1, 69.68641114982579, 69.71718063721502, 0.62875, 62.9, 0.7302555168408827, 43.815331010452965, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5.5x4.5-E, 5.5, 4.5, 7.4, 13838, 11.85, 87.7, 68.41505131128848, 68.42285323297982, 0.654375, 59.0, 0.74615165336374, 44.7690992018244, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 6x4-E, 6.0, 4.0, 7.4, 13356, 12.64, 93.5, 64.1711229946524, 64.14642490591856, 0.843125, 50.6, 0.9017379679144385, 54.104278074866315, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 4x4x3, 4.0, 4.0, 7.4, 15817, 7.95, 58.8, 102.04081632653062, 101.98878123406425, 0.545, 59.9, 0.9268707482993199, 55.612244897959194, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 4x4.5-BN, 4.0, 4.5, 7.4, 15740, 8.19, 60.6, 99.00990099009901, 99.000099000099, 0.53375, 67.1, 0.8807755775577556, 52.84653465346534, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5x4, 5.0, 4.0, 7.4, 15976, 7.74, 57.2, 104.8951048951049, 104.75591870940707, 0.665, 60.5, 1.1625874125874125, 69.75524475524476, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5x4x3, 5.0, 4.0, 7.4, 14574, 10.33, 76.4, 78.53403141361255, 78.49088197587713, 0.789375, 55.2, 1.0332133507853403, 61.992801047120416, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 5x4.5-BN, 5.0, 4.5, 7.4, 13788, 11.77, 87.1, 68.88633754305397, 68.88791935520908, 0.78375, 58.8, 0.8998277841561424, 53.98966704936854, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 6x3, 6.0, 3.0, 7.4, 15951, 7.83, 57.9, 103.62694300518135, 103.55182768975872, 0.741875, 45.3, 1.2813039723661486, 76.87823834196891, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/28 , 0.62, 2.0, 2800.0, 6x4.5, 6.0, 4.5, 7.4, 12930, 13.39, 99.1, 60.54490413723512, 60.55345861171103, 0.9775, 55.1, 0.9863773965691222, 59.18264379414733, 30.62, 100, 0.098, 15.0, 110.0, 1.055, 0.449, 0.772
Cobra C-2203/34 , 0.62, 2.0, 2300.0, 6x4-E, 6.0, 4.0, 7.4, 12260, 9.18, 67.9, 88.36524300441826, 88.32361773538244, 0.69, 46.4, 1.01620029455081, 60.9720176730486, 30.62, 100, 0.102, 10.0, 75.0, 1.06, 0.45, 0.77
Cobra C-2203/34 , 0.62, 2.0, 2300.0, 6x3-DD, 6.0, 3.0, 7.4, 13510, 6.89, 51.0, 117.6470588235294, 117.67936296238183, 0.67875, 38.4, 1.3308823529411764, 79.85294117647058, 30.62, 100, 0.102, 10.0, 75.0, 1.06, 0.45, 0.77
Cobra C-2203/34 , 0.62, 2.0, 2300.0, 7x3.5-DD, 7.0, 3.5, 7.4, 12430, 8.9, 65.9, 91.04704097116843, 91.10233829334953, 0.864375, 41.2, 1.311646433990895, 78.69878603945371, 30.62, 100, 0.102, 10.0, 75.0, 1.06, 0.45, 0.77
Cobra C-2203/46 , 0.62, 2.0, 1720.0, 7x4-SF, 7.0, 4.0, 7.4, 8760, 6.63, 49.1, 122.19959266802444, 122.29423994129876, 0.683125, 33.2, 1.3912932790224033, 83.47759674134419, 30.62, 100, 0.179, 8.0, 60.0, 1.06, 0.45, 0.77
Cobra C-2203/46 , 0.62, 2.0, 1720.0, 7x5-SF, 7.0, 5.0, 7.4, 8250, 7.5, 55.5, 108.10810810810811, 108.10810810810811, 0.674375, 39.1, 1.21509009009009, 72.9054054054054, 30.62, 100, 0.179, 8.0, 60.0, 1.06, 0.45, 0.77
Cobra C-2203/46 , 0.62, 2.0, 1720.0, 7x3.5-DD, 7.0, 3.5, 7.4, 10100, 4.53, 33.5, 179.1044776119403, 178.98693395382134, 0.553125, 33.5, 1.6511194029850746, 99.06716417910447, 30.62, 100, 0.179, 8.0, 60.0, 1.06, 0.45, 0.77
Cobra C-2203/52 , 0.62, 2.0, 1540.0, 7x4-SF, 7.0, 4.0, 7.4, 8070, 4.95, 36.6, 163.93442622950818, 163.8001638001638, 0.56875, 30.6, 1.5539617486338797, 93.23770491803278, 30.62, 100, 0.238, 7.0, 55.0, 1.06, 0.45, 0.77
Cobra C-2203/52 , 0.62, 2.0, 1540.0, 7x5-SF, 7.0, 5.0, 7.4, 7620, 5.6, 41.4, 144.92753623188406, 144.7876447876448, 0.57125, 36.1, 1.3798309178743962, 82.78985507246378, 30.62, 100, 0.238, 7.0, 55.0, 1.06, 0.45, 0.77
Cobra C-2203/52 , 0.62, 2.0, 1540.0, 7x6-SF, 7.0, 6.0, 7.4, 7040, 6.51, 48.2, 124.48132780082987, 124.54851164528584, 0.538125, 40.0, 1.116441908713693, 66.98651452282157, 30.62, 100, 0.238, 7.0, 55.0, 1.06, 0.45, 0.77
Cobra C-2203/52 , 0.62, 2.0, 1540.0, 8x3.8-SF, 8.0, 3.8, 7.4, 6830, 6.73, 49.8, 120.48192771084338, 120.47708927352313, 0.714375, 24.6, 1.434487951807229, 86.06927710843374, 30.62, 100, 0.238, 7.0, 55.0, 1.06, 0.45, 0.77
Cobra C-2204/32 , 0.79, 2.0, 1960.0, 6x4-E, 6.0, 4.0, 7.4, 11197, 6.42, 47.5, 126.3157894736842, 126.2945188178833, 0.56, 42.4, 1.1789473684210527, 70.73684210526316, 30.79, 100, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.0, 1960.0, 6x5.5-E, 6.0, 5.5, 7.4, 10390, 8.28, 61.3, 97.87928221859707, 97.92401096748922, 0.526875, 54.1, 0.8595024469820555, 51.57014681892333, 30.79, 100, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.0, 1960.0, 7x4-SF, 7.0, 4.0, 7.4, 9877, 9.6, 71.0, 84.50704225352112, 84.45945945945945, 0.88875, 37.4, 1.2517605633802817, 75.1056338028169, 30.79, 100, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.0, 1960.0, 7x5-SF, 7.0, 5.0, 7.4, 9337, 10.79, 79.8, 75.18796992481204, 75.14465345790647, 0.875, 44.2, 1.0964912280701755, 65.78947368421053, 30.79, 100, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.0, 1960.0, 7x3.5x3-DD, 7.0, 3.5, 7.4, 10703, 7.53, 55.7, 107.71992818671454, 107.6773985140519, 0.765, 35.5, 1.3734290843806103, 82.40574506283663, 30.79, 100, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 4.5x4.1-E, 4.5, 4.1, 11.1, 17710, 6.54, 72.6, 82.56198347107438, 82.56880733944955, 0.566875, 68.8, 0.7808195592286502, 46.802324380165295, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 4.75x4.25-E, 4.75, 4.25, 11.1, 17131, 7.74, 85.9, 69.77881257275902, 69.76744186046511, 0.581875, 68.9, 0.6773864959254947, 40.60254656577416, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 4.75x4.75-E, 4.75, 4.75, 11.1, 16752, 8.42, 93.4, 64.17558886509636, 64.13301662707838, 0.564375, 75.4, 0.6042558886509635, 36.219097965738754, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 4.75x5.5-E, 4.75, 5.5, 11.1, 16289, 9.34, 103.7, 57.80135004821601, 57.81584582441114, 0.515625, 84.8, 0.4972275795564127, 29.803821118611378, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 5x5-E, 5.0, 5.0, 11.1, 16267, 9.38, 104.2, 57.52399232245681, 57.56929637526652, 0.5775, 77.0, 0.5542226487523992, 33.22010556621881, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 5.25x4.75-E, 5.25, 4.75, 11.1, 15764, 10.35, 114.9, 52.16710182767624, 52.173913043478265, 0.795625, 70.9, 0.692449956483899, 41.505450391644914, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 5.5x4.5-E, 5.5, 4.5, 11.1, 15647, 10.61, 117.8, 50.882852292020374, 50.89538171536287, 0.81375, 66.7, 0.6907894736842105, 41.40592105263158, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 6x4-E, 6.0, 4.0, 11.1, 15106, 11.67, 129.5, 46.285714285714285, 46.27249357326478, 1.066875, 57.2, 0.8238416988416989, 49.38107142857143, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 5x3x3-DD, 5.0, 3.0, 11.1, 17516, 6.88, 76.3, 78.55832241153342, 78.48837209302326, 0.77375, 49.8, 1.0140891218872872, 60.784501965923994, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 5x4.3-DD, 5.0, 4.3, 11.1, 17486, 7.02, 77.9, 76.94480102695763, 76.92307692307692, 0.81375, 71.2, 1.0446084724005134, 62.613831835686774, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 6x3-DD, 6.0, 3.0, 11.1, 16672, 8.64, 95.9, 62.50260688216892, 62.5, 1.051875, 47.4, 1.0968456725755993, 65.74492961418143, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 6x3x3-DD, 6.0, 3.0, 11.1, 16223, 9.42, 104.5, 57.35885167464115, 57.32484076433121, 1.1, 46.1, 1.0526315789473686, 63.09473684210527, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/32 , 0.79, 2.9999999999999996, 1960.0, 7x3.5-DD, 7.0, 3.5, 11.1, 15261, 11.36, 126.1, 47.53370340999207, 47.53521126760564, 1.355625, 50.6, 1.0750396510705789, 64.43787668517051, 31.622999999999998, 99.9, 0.102, 12.0, 90.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 6x5.5-E, 6.0, 5.5, 7.4, 8904, 5.05, 37.4, 160.42780748663102, 160.55659620016056, 0.385625, 46.4, 1.0310828877005347, 61.86497326203209, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 7x4-SF, 7.0, 4.0, 7.4, 8607, 5.67, 42.0, 142.85714285714286, 143.000143000143, 0.655, 32.6, 1.5595238095238095, 93.57142857142858, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 7x5-SF, 7.0, 5.0, 7.4, 8234, 6.48, 47.9, 125.26096033402924, 125.12512512512511, 0.66125, 39.0, 1.3804801670146138, 82.82881002087683, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 7x6-SF, 7.0, 6.0, 7.4, 7628, 7.77, 57.5, 104.34782608695652, 104.35145570280706, 0.64375, 43.3, 1.1195652173913044, 67.17391304347827, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 8x3.8-SF, 8.0, 3.8, 7.4, 7489, 8.18, 60.5, 99.17355371900827, 99.12112601599154, 0.870625, 26.9, 1.4390495867768596, 86.34297520661157, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.0, 1570.0, 7x3.5x3-DD, 7.0, 3.5, 7.4, 9165, 4.51, 33.4, 179.64071856287427, 179.78066758554561, 0.555625, 30.4, 1.6635479041916168, 99.81287425149702, 30.79, 100, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 4.75x4.75-E, 4.75, 4.75, 11.1, 14253, 4.82, 53.5, 112.03738317757009, 112.03319502074689, 0.40375, 64.1, 0.7546728971962616, 45.235093457943925, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 4.75x5.5-E, 4.75, 5.5, 11.1, 13840, 5.56, 61.7, 97.14748784440842, 97.12230215827338, 0.375, 72.1, 0.6077795786061588, 36.430307941653155, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 5x5-E, 5.0, 5.0, 11.1, 13806, 5.63, 62.4, 96.0576923076923, 95.91474245115454, 0.416875, 65.4, 0.6680689102564102, 40.04405048076923, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 5.25x4.75-E, 5.25, 4.75, 11.1, 13517, 6.12, 67.9, 88.27687776141384, 88.23529411764706, 0.58, 60.8, 0.8541973490427097, 51.200589101620025, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 5.5x4.5-E, 5.5, 4.5, 11.1, 13393, 6.33, 70.2, 85.38461538461539, 85.30805687203791, 0.595, 57.1, 0.8475783475783475, 50.80384615384615, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 6x4-E, 6.0, 4.0, 11.1, 13070, 6.98, 77.5, 77.34193548387097, 77.36389684813753, 0.79125, 49.5, 1.020967741935484, 61.19680645161291, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 6x5.5-E, 6.0, 5.5, 11.1, 12060, 8.88, 98.6, 60.79107505070994, 60.8108108108108, 0.723125, 62.8, 0.7333924949290062, 43.95954614604463, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 6x3-DD, 6.0, 3.0, 11.1, 14167, 4.98, 55.2, 108.58695652173913, 108.43373493975902, 0.75625, 40.2, 1.3700181159420288, 82.1188858695652, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 6x3x3-DD, 6.0, 3.0, 11.1, 13813, 5.61, 62.3, 96.21187800963082, 96.2566844919786, 0.789375, 39.2, 1.2670545746388444, 75.94725120385233, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 7x3.5-DD, 7.0, 3.5, 11.1, 13181, 6.81, 75.6, 79.28571428571429, 79.29515418502203, 0.963125, 43.7, 1.273974867724868, 76.36205357142858, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/40 , 0.79, 2.9999999999999996, 1570.0, 7x3.5x3-DD, 7.0, 3.5, 11.1, 12430, 8.17, 90.7, 66.08599779492833, 66.09547123623011, 1.07125, 41.2, 1.1810915104740904, 70.79462513781698, 31.622999999999998, 99.9, 0.156, 9.0, 65.0, 1.06, 0.56, 0.86
Cobra C-2204/58 , 0.79, 2.0, 1080.0, 8x6-SF, 8.0, 6.0, 7.4, 5097, 4.88, 36.1, 166.20498614958447, 166.14975631369074, 0.55125, 29.0, 1.5270083102493075, 91.62049861495844, 30.79, 100, 0.318, 7.0, 75.0, 1.06, 0.56, 0.86
Cobra C-2204/58 , 0.79, 2.0, 1080.0, 9x3.8-SF, 9.0, 3.8, 7.4, 5412, 4.29, 31.7, 189.27444794952683, 189.00018900018898, 0.619375, 19.5, 1.9538643533123028, 117.23186119873819, 30.79, 100, 0.318, 7.0, 75.0, 1.06, 0.56, 0.86
