Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra CP-2814-2350 ,4.00,2350.00,6.00,4.50,14.80,30078.00,68.70,1016.80,354.05,5.11,128.20,0.50,1.96
Tempest 2820-1940Kv ,5.00,1940.00,6.00,4.50,18.50,29676.00,76.22,1410.10,255.30,6.21,126.50,0.44,2.00
BadAss 2826-1360 ,5.00,1360.00,7.00,6.00,18.50,21758.00,63.09,1167.10,308.46,5.17,123.60,0.44,2.11
Cobra CP-2814-2350 ,4.00,2350.00,6.00,4.50,14.80,28709.00,86.65,1282.40,280.72,5.84,122.30,0.46,1.96
BadAss 2814-1560Kv ,6.00,1560.00,6.00,4.50,22.20,28709.00,53.35,1184.30,303.98,5.59,122.30,0.47,1.96
BadAss 4530-550Kv ,6.00,550.00,12.00,12.00,22.20,10701.00,79.49,1764.60,204.01,8.05,121.60,0.46,2.86
Tempest 4130-690Kv ,5.00,690.00,12.00,12.00,18.50,10543.00,93.85,1736.30,207.34,7.68,119.80,0.44,2.54
Tempest 4130-540Kv ,6.00,540.00,12.00,12.00,22.20,10305.00,70.50,1565.00,230.03,7.37,117.10,0.47,2.54
BadAss 4520-660Kv ,5.00,660.00,12.00,12.00,18.50,10263.00,84.81,1568.90,229.46,7.37,116.60,0.47,2.57
BadAss 3530-890 ,6.00,890.00,9.00,7.00,22.20,17500.00,87.68,1946.50,184.95,9.34,116.00,0.48,2.41
BadAss 2826-1360 ,5.00,1360.00,8.00,6.00,18.50,20263.00,93.54,1730.50,208.03,8.12,115.10,0.47,2.11
BadAss 4520-830Kv ,4.00,830.00,12.00,12.00,14.80,10042.00,102.29,1513.90,237.80,6.99,114.10,0.46,2.57
BadAss 3530-650Kv ,6.00,570.00,12.00,12.00,22.20,9951.00,65.24,1448.20,248.58,7.05,113.10,0.49,2.40
Cobra C-4120/14 ,6.00,710.00,9.00,9.00,22.20,13071.00,52.37,1162.60,309.65,5.24,111.40,0.45,2.35
Cobra C-3525/10 ,6.00,780.00,9.00,9.00,22.20,13063.00,54.73,1215.10,296.27,5.23,111.30,0.43,2.26
Tempest 4120-830Kv ,6.00,830.00,9.00,7.00,22.20,16726.00,74.50,1653.80,217.68,8.60,110.90,0.52,2.32
BadAss 4530-730Kv ,4.00,730.00,12.00,12.00,14.80,9750.00,90.19,1334.80,269.70,6.68,110.80,0.50,2.87
BadAss 4530-730Kv ,6.00,730.00,11.00,8.00,22.20,14573.00,109.81,2437.80,147.67,12.39,110.40,0.51,2.87
Tempest 4120-520Kv ,6.00,520.00,12.00,12.00,22.20,9670.00,58.58,1300.40,276.84,6.44,109.90,0.50,2.32
BadAss 4520-540Kv ,6.00,540.00,12.00,12.00,22.20,9675.00,57.00,1265.40,284.50,6.61,109.90,0.52,2.57
Cobra C-4120/12 ,5.00,850.00,9.00,9.00,18.50,12858.00,61.16,1131.50,318.16,5.05,109.60,0.45,2.35
BadAss 3530-890 ,4.00,890.00,10.00,10.00,14.80,11567.00,76.47,1131.80,318.08,5.03,109.50,0.44,2.41
Cobra C-4130/12 ,6.00,540.00,12.00,12.00,22.20,9592.00,56.61,1256.60,286.49,6.60,109.00,0.52,2.58
BadAss 2826-1030 ,6.00,1030.00,8.00,6.00,22.20,19150.00,61.25,1359.80,264.74,7.38,108.80,0.54,2.10
BadAss 3530-890 ,5.00,890.00,10.00,8.00,18.50,14310.00,89.41,1654.10,217.64,7.80,108.40,0.47,2.41
Tempest 4120-600Kv ,6.00,600.00,11.00,10.00,22.20,11396.00,69.98,1553.50,231.73,6.85,107.90,0.44,2.32
BadAss 4520-830Kv ,6.00,830.00,9.00,7.00,22.20,16234.00,66.91,1485.40,242.36,8.57,107.60,0.58,2.57
BadAss 2826-1030 ,6.00,1030.00,8.00,6.00,22.20,18932.00,62.95,1397.50,257.60,6.43,107.60,0.46,2.10
Tempest 4120-600Kv ,5.00,600.00,12.00,12.00,18.50,9434.00,66.48,1229.80,292.73,6.15,107.20,0.50,2.32
Cobra C-4120/16 ,6.00,610.00,10.00,10.00,22.20,11262.00,49.20,1092.30,329.58,5.01,106.60,0.46,2.34
BadAss 3530-890 ,4.00,890.00,11.00,10.00,14.80,11111.00,93.56,1384.60,260.00,6.68,105.20,0.48,2.41
Tempest 4130-690Kv ,6.00,690.00,11.00,8.50,22.20,13028.00,88.22,1958.40,183.82,9.49,104.90,0.48,2.54
BadAss 4520-830Kv ,6.00,830.00,10.00,7.00,22.20,15777.00,94.79,2104.40,171.07,11.20,104.60,0.53,2.57
Tempest 4130-690Kv ,5.00,690.00,11.00,10.00,18.50,11045.00,70.17,1298.20,277.31,6.41,104.60,0.49,2.54
BadAss 4530-550Kv ,5.00,550.00,12.00,12.00,18.50,9128.00,56.94,1053.40,341.75,5.79,103.70,0.55,2.86
BadAss 3530-700 ,5.00,700.00,11.00,10.00,18.50,10939.00,69.31,1282.30,280.75,6.43,103.60,0.50,2.40
Tempest 4120-830Kv ,5.00,830.00,10.00,8.00,18.50,13631.00,80.09,1481.70,242.96,6.75,103.30,0.46,2.32
BadAss 3530-700 ,6.00,700.00,10.00,8.00,22.20,13634.00,61.18,1358.30,265.04,7.07,103.30,0.52,2.40
Tempest 4130-690Kv ,6.00,690.00,10.00,8.00,22.20,13619.00,61.65,1368.60,263.04,6.71,103.20,0.49,2.54
Tempest 4120-700Kv ,5.00,700.00,11.00,10.00,18.50,10867.00,68.67,1270.40,283.38,6.23,102.90,0.49,2.32
Cobra C-4120/16 ,6.00,610.00,11.00,10.00,22.20,10866.00,60.00,1332.00,270.27,6.59,102.90,0.49,2.34
BadAss 4520-830Kv ,5.00,830.00,11.00,8.50,18.50,12774.00,106.94,1978.40,181.97,8.91,102.80,0.45,2.57
BadAss 3530-700 ,6.00,700.00,11.00,8.50,22.20,12777.00,86.58,1922.10,187.30,9.08,102.80,0.47,2.40
Cobra C-2826-EF1 ,5.00,1200.00,8.00,6.00,18.50,18033.00,60.88,1126.40,319.60,6.86,102.50,0.61,2.09
Cobra C-2826-EF1-SS ,5.00,1200.00,8.00,6.00,18.50,18033.00,60.88,1126.40,319.60,6.86,102.50,0.61,2.09
BadAss 2820-1820 ,4.00,1820.00,7.00,4.00,14.80,26897.00,90.85,1344.60,267.74,6.19,101.90,0.46,2.03
Tempest 3515-1330Kv ,5.00,1330.00,8.00,6.00,18.50,17901.00,64.49,1193.00,301.76,6.75,101.70,0.57,2.07
Cobra C-4120/16 ,5.00,610.00,12.00,12.00,18.50,8938.00,57.77,1068.70,336.86,5.87,101.60,0.55,2.34
BadAss 4520-830Kv ,5.00,830.00,10.00,8.00,18.50,13384.00,73.72,1363.80,263.97,6.61,101.40,0.48,2.57
Tempest 2826-1470Kv ,6.00,1470.00,7.00,4.00,22.20,26772.00,55.80,1238.80,290.60,5.79,101.40,0.47,2.07
Tempest 4130-540Kv ,6.00,540.00,11.00,10.00,22.20,10704.00,51.49,1143.10,314.93,6.05,101.40,0.53,2.54
BadAss 4530-550Kv ,6.00,550.00,12.00,10.00,22.20,10693.00,76.95,1708.30,210.74,8.24,101.30,0.48,2.86
Tempest 4120-700Kv ,6.00,700.00,10.00,8.00,22.20,13375.00,61.84,1372.80,262.24,6.60,101.30,0.48,2.32
Tempest 4120-830Kv ,4.00,830.00,11.00,10.00,14.80,10647.00,82.15,1215.80,296.10,5.98,100.80,0.49,2.32
Tempest 4130-690Kv ,5.00,690.00,12.00,10.00,18.50,10639.00,88.62,1639.50,219.58,8.08,100.70,0.49,2.54
BadAss 4520-660Kv ,6.00,660.00,11.00,8.50,22.20,12513.00,80.86,1795.10,200.55,8.54,100.70,0.48,2.57
Tempest 4130-540Kv ,5.00,540.00,12.00,12.00,18.50,8843.00,51.31,949.30,379.23,5.38,100.50,0.57,2.54
BadAss 4520-660Kv ,5.00,660.00,11.00,10.00,18.50,10603.00,63.46,1174.00,306.64,6.03,100.40,0.51,2.57
BadAss 2820-910Kv ,6.00,910.00,9.00,7.00,22.20,15150.00,59.51,1321.10,272.50,8.00,100.40,0.61,2.03
Tempest 4130-690Kv ,6.00,690.00,11.00,8.00,22.20,13240.00,78.79,1749.20,205.81,10.61,100.30,0.61,2.54
BadAss 3515-1130 ,5.00,1130.00,8.00,6.00,18.50,17628.00,55.47,1026.10,350.84,6.34,100.20,0.62,2.11
Tempest 4130-690Kv ,4.00,690.00,12.00,12.00,14.80,8811.00,63.91,945.90,380.59,5.32,100.10,0.56,2.54
BadAss 3530-700 ,5.00,700.00,13.00,10.00,18.50,10562.00,80.85,1495.70,240.69,10.77,100.00,0.72,2.40
BadAss 3520-970 ,5.00,970.00,9.00,7.00,18.50,15093.00,67.24,1243.90,289.41,7.92,100.00,0.64,2.19
BadAss 3530-890 ,5.00,890.00,9.00,7.00,18.50,15076.00,63.85,1181.30,304.75,7.39,99.90,0.63,2.41
BadAss 2826-820Kv ,6.00,820.00,9.00,7.00,22.20,15050.00,54.66,1213.50,296.66,7.73,99.80,0.64,2.09
BadAss 4530-730Kv ,6.00,730.00,10.00,7.00,22.20,15040.00,79.41,1763.00,204.20,10.22,99.70,0.58,2.87
BadAss 3530-470 ,6.00,470.00,12.00,12.00,22.20,8773.00,41.90,930.10,387.06,5.36,99.70,0.58,2.39
BadAss 3530-650Kv ,6.00,570.00,11.00,10.00,22.20,10514.00,48.44,1075.30,334.79,5.87,99.60,0.55,2.40
Tempest 4130-690Kv ,6.00,690.00,11.00,8.00,22.20,13132.00,83.31,1849.50,194.65,9.00,99.50,0.49,2.54
BadAss 4530-730Kv ,6.00,730.00,10.00,7.00,22.20,15010.00,80.36,1784.00,201.79,8.24,99.50,0.46,2.87
Cobra C-2826-EF1 ,5.00,1200.00,8.00,6.00,18.50,17497.00,65.94,1219.90,295.11,5.77,99.40,0.47,2.09
Cobra C-2826-EF1-SS ,5.00,1200.00,8.00,6.00,18.50,17497.00,65.94,1219.90,295.11,5.77,99.40,0.47,2.09
BadAss 3530-700 ,4.00,700.00,12.00,12.00,14.80,8743.00,65.08,963.10,373.79,5.27,99.40,0.55,2.40
BadAss 4520-830Kv ,4.00,830.00,11.00,10.00,14.80,10481.00,76.51,1132.30,317.94,5.83,99.30,0.51,2.57
BadAss 3520-790 ,6.00,790.00,9.00,7.00,22.20,14966.00,50.60,1123.40,320.46,7.19,99.20,0.64,2.20
BadAss 3530-700 ,5.00,700.00,12.00,10.00,18.50,10453.00,85.66,1584.70,227.17,7.85,99.00,0.50,2.40
BadAss 3530-700 ,6.00,700.00,11.00,8.00,22.20,13065.00,78.02,1732.10,207.84,10.39,99.00,0.60,2.40
Tempest 2826-920Kv ,6.00,920.00,8.00,6.00,22.20,17423.00,46.36,1029.20,349.79,6.49,99.00,0.63,2.07
BadAss 4530-730Kv ,5.00,730.00,11.00,8.50,18.50,12269.00,91.89,1699.90,211.78,8.16,98.80,0.48,2.87
Cobra C-4120/14 ,5.00,710.00,11.00,10.00,18.50,10426.00,61.96,1146.30,314.05,6.01,98.70,0.52,2.35
BadAss 4520-470Kv ,6.00,470.00,12.00,12.00,22.20,8687.00,40.15,891.40,403.86,5.22,98.70,0.59,2.57
BadAss 4530-550Kv ,6.00,550.00,14.00,10.00,22.20,10407.00,98.28,2181.80,165.00,12.56,98.60,0.58,2.86
BadAss 4520-660Kv ,6.00,660.00,10.00,8.00,22.20,13016.00,55.41,1230.10,292.66,6.32,98.60,0.51,2.57
Tempest 4120-700Kv ,6.00,700.00,11.00,8.00,22.20,12985.00,75.33,1672.30,215.27,10.28,98.40,0.61,2.32
Tempest 2826-1140Kv ,5.00,1140.00,8.00,6.00,18.50,17324.00,54.95,1016.60,354.12,6.44,98.40,0.63,2.06
Tempest 4130-540Kv ,6.00,540.00,12.00,10.00,22.20,10380.00,65.84,1461.70,246.29,7.75,98.30,0.53,2.54
BadAss 3530-650Kv ,5.00,570.00,12.00,12.00,18.50,8650.00,48.31,893.80,402.77,5.23,98.30,0.58,2.40
Tempest 2820-1170Kv ,5.00,1170.00,8.00,6.00,18.50,17273.00,55.36,1024.20,351.49,6.19,98.10,0.60,2.00
BadAss 3530-890 ,6.00,890.00,10.00,6.00,22.20,17243.00,95.24,2114.40,170.26,9.94,98.00,0.47,2.41
