Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra C-5330/18 ,6,250,21,14,22.199999999999999,4831,96.379999999999995,2139.46,336.53351800000002,25.5,64,1.1918899999999999,4.5612500000000002
Cobra C-4130/16 ,6,390,18,8,22.199999999999999,6699,95.299999999999997,2115.4000000000001,340.36116099999998,24.356249999999999,50.799999999999997,1.151378,3.44625
Cobra C-4130/20 ,6,300,20,13,22.199999999999999,4836,92.5,2053.5999999999999,350.60381799999999,23.342500000000001,59.5,1.1366620000000001,3.44625
Cobra C-4130/20 ,6,300,20,11,22.199999999999999,4973,90.219999999999999,2003,359.46080899999998,23.07375,51.799999999999997,1.1519600000000001,3.44625
Cobra C-5320/22 ,6,300,19,10,22.199999999999999,5659,86.959999999999994,1930.4000000000001,372.979693,22.932500000000001,53.600000000000001,1.1879660000000001,3.8599999999999999
Cobra C-5330/18 ,6,250,20,13,22.199999999999999,4919,85.200000000000003,1891.6199999999999,380.62612999999999,22.362500000000001,60.600000000000001,1.182188,4.5612500000000002
Cobra C-4130/16 ,5,390,19,10,18.5,5466,94.560000000000002,1749.2,411.616739,21.627500000000001,51.799999999999997,1.2364219999999999,3.44625
Cobra C-4130/20 ,6,300,19,12,22.199999999999999,5126,80.840000000000003,1794.5999999999999,401.20361100000002,21.454999999999998,58.299999999999997,1.1955309999999999,3.44625
Cobra C-4130/16 ,6,390,17,8,22.199999999999999,6689,96.180000000000007,2135.1999999999998,337.20494600000001,21.379999999999999,50.700000000000003,1.0013110000000001,3.44625
Cobra C-5330/18 ,6,250,20,11,22.199999999999999,4891,75.319999999999993,1672.02,430.61685899999998,21.050000000000001,50.899999999999999,1.258956,4.5612500000000002
Cobra C-4130/16 ,6,390,16,8,22.199999999999999,6806,82.459999999999994,1830.4000000000001,393.35664300000002,20.612500000000001,51.600000000000001,1.12612,3.44625
Cobra C-4130/20 ,6,300,19,10,22.199999999999999,5317,69.400000000000006,1540.5999999999999,467.35038300000002,20.17625,50.399999999999999,1.309636,3.44625
Cobra C-5320/22 ,6,300,18,10,22.199999999999999,5774,75.879999999999995,1684.5999999999999,427.401163,19.89875,54.700000000000003,1.1812149999999999,3.8599999999999999
Cobra C-4130/14 ,6,450,14,7,22.199999999999999,8239,86.540000000000006,1921.2,374.76577099999997,19.7225,54.600000000000001,1.026572,3.4637500000000001
Cobra C-4130/14 ,5,450,16,8,18.5,6674,93.260000000000005,1725.2,417.342917,19.717500000000001,50.600000000000001,1.142911,3.4637500000000001
Cobra C-4130/16 ,5,390,18,10,18.5,5640,84.379999999999995,1561,461.24279300000001,19.338750000000001,53.399999999999999,1.238869,3.44625
Cobra C-4120/20 ,6,480,14,7,22.199999999999999,8179,89.680000000000007,1990.8,361.66365300000001,19.333749999999998,54.200000000000003,0.97115499999999999,2.9787499999999998
Cobra C-4130/16 ,6,390,16,10,22.199999999999999,6668,96.980000000000004,2153,334.41709200000003,19.122499999999999,63.100000000000001,0.88817900000000005,3.44625
Cobra C-4130/16 ,6,390,16,8,22.199999999999999,6807,88.379999999999995,1962,366.97247700000003,18.951250000000002,51.600000000000001,0.96591499999999997,3.44625
Cobra C-4130/14 ,6,450,15,8,22.199999999999999,8260,85.260000000000005,1892.5999999999999,380.42903899999999,18.893750000000001,62.600000000000001,0.99829599999999996,3.4637500000000001
Cobra C-4120/20 ,6,480,15,8,22.199999999999999,8156,90.519999999999996,2009.4000000000001,358.31591500000002,18.501249999999999,61.799999999999997,0.92073499999999997,2.9787499999999998
Cobra C-4130/16 ,5,390,16,10,18.5,5670,82.239999999999995,1521.5999999999999,473.18612000000002,18.28875,53.700000000000003,1.2019420000000001,3.44625
Cobra C-4130/12 ,5,540,14,7,18.5,8011,96.060000000000002,1777.2,405.13166799999999,18.227499999999999,53.100000000000001,1.02563,3.4550000000000001
Cobra C-4120/18 ,5,540,14,7,18.5,7877,96.239999999999995,1780.5999999999999,404.35808200000002,17.918749999999999,52.200000000000003,1.006332,2.9787499999999998
Cobra C-4130/12 ,5,540,15,8,18.5,8139,97.239999999999995,1798.8,400.26684499999999,17.84,61.700000000000003,0.99177199999999999,3.4550000000000001
Cobra C-4130/14 ,5,450,16,8,18.5,6629,96,1776,405.40540499999997,17.831250000000001,50.200000000000003,1.0040119999999999,3.4637500000000001
Cobra C-4130/20 ,6,300,18,10,22.199999999999999,5459,61.240000000000002,1359.8,529.48963100000003,17.641249999999999,51.700000000000003,1.297342,3.44625
Cobra C-4130/16 ,6,390,14,9,22.199999999999999,7104,71.459999999999994,1586.4000000000001,453.85779100000002,17.5,60.5,1.103127,3.44625
Cobra C-3525/12 ,6,650,12,6,22.199999999999999,11023,93.400000000000006,2073.5999999999999,347.22222199999999,17.442499999999999,62.600000000000001,0.84116999999999997,2.8149999999999999
Cobra C-4120/18 ,6,540,13,6.5,22.199999999999999,9617,98.159999999999997,2179,330.42680100000001,17.32375,59.200000000000003,0.79503199999999996,2.9787499999999998
Cobra C-4120/18 ,5,540,15,8,18.5,7924,94.379999999999995,1746,412.37113399999998,17.297499999999999,60,0.99069300000000005,2.9787499999999998
Cobra C-4130/14 ,6,450,14,8.5,22.199999999999999,8327,81.459999999999994,1808.5999999999999,398.09797600000002,16.945,67,0.936913,3.4637500000000001
Cobra C-3525/14 ,6,560,12,8,22.199999999999999,9167,89,1975.8,364.40935300000001,16.803750000000001,69.400000000000006,0.85047799999999996,2.8149999999999999
Cobra C-5320/22 ,6,300,17,10,22.199999999999999,5800,73.560000000000002,1633,440.90630700000003,16.789999999999999,54.899999999999999,1.0281690000000001,3.8599999999999999
Cobra C-4130/20 ,6,300,18,12,22.199999999999999,5053,84.859999999999999,1883.5999999999999,382.24676199999999,16.688749999999999,57.399999999999999,0.88600299999999999,3.44625
Cobra C-4130/14 ,6,450,13,8,22.199999999999999,8451,73.980000000000004,1642.2,438.43624399999999,16.684999999999999,64,1.0160149999999999,3.4637500000000001
Cobra C-4130/14 ,6,450,14,7,22.199999999999999,8354,79,1753.8,410.53711900000002,16.64875,55.399999999999999,0.94929600000000003,3.4637500000000001
Cobra C-4130/16 ,5,390,17,10,18.5,5653,83.459999999999994,1544,466.32124399999998,16.596250000000001,53.5,1.0748869999999999,3.44625
Cobra C-4120/20 ,6,480,14,8.5,22.199999999999999,8274,84.159999999999997,1868.2,385.39770900000002,16.57,66.599999999999994,0.88695000000000002,2.9787499999999998
Cobra C-3525/12 ,6,650,12,6,22.199999999999999,10908,94.659999999999997,2101.4000000000001,342.62872399999998,16.543749999999999,62,0.787273,2.8149999999999999
Cobra C-4130/20 ,6,300,16,10,22.199999999999999,5415,58.140000000000001,1290.4000000000001,557.96652200000005,16.5075,51.299999999999997,1.2792539999999999,3.44625
Cobra C-5320/22 ,6,300,17,12,22.199999999999999,5726,83.159999999999997,1846.2,389.99025,16.50375,65.099999999999994,0.89393100000000003,3.8599999999999999
Cobra C-4120/22 ,6,430,15,8,22.199999999999999,7760,70.379999999999995,1562.4000000000001,460.82949300000001,16.4725,58.799999999999997,1.0543070000000001,2.9787499999999998
Cobra C-4120/20 ,6,480,13,8,22.199999999999999,8416,75.980000000000004,1686.8,426.843728,16.428750000000001,63.799999999999997,0.97396000000000005,2.9787499999999998
Cobra C-4120/20 ,6,480,14,7,22.199999999999999,8358,79.140000000000001,1756.8,409.83606600000002,16.414999999999999,55.399999999999999,0.93436900000000001,2.9787499999999998
