Rank,Span [m],AR [ Span^2/area],RAC [ Rated Airplane Cost ],Motor,Cells,PropD_in,PropP_in,Wh,Pass,Cargo,Banner_in,BannerH_in,V2 [m/s],V3  [m/s],Laps2,Laps3,M2,M3,GM,EmptyMass_kg,M2_Mass_kg,M3_Mass_kg,Non Norm - CompetitionScore
1,1.4478,4,0.9875,BadAss 2826-690  Twin,6,11,8,100,14,3,24,4.8,31.04524536,21.61815449,3,3,1.402,2.911392405,0.666666667,2.982312518,4.000612518,3.231312518,6008.559072
2,1.4478,4,0.9875,BadAss 2826-690  Twin,6,11,8,100,14,3,24,4.8,31.5818919,21.77914845,3,3,1.402,2.911392405,0.666666667,3.008745515,4.027045515,3.257745515,6008.559072
3,1.4478,4,0.9875,Tempest 2826-920Kv  Twin,6,8,6,100,14,3,24,4.8,31.4936535,21.0326401,3,3,1.402,2.911392405,0.666666667,2.971236429,3.989536429,3.220236429,6008.559072
4,1.4478,4,0.9875,Tempest 2820-970Kv  Twin,6,8,6,100,14,3,24,4.8,31.0261544,20.705438,3,3,1.402,2.911392405,0.666666667,2.911236429,3.929536429,3.160236429,6008.559072
5,1.4478,4,0.9875,BadAss 2826-690  Twin,6,11,8,100,14,2,24,4.8,31.5818919,21.77914845,4,3,1.392,2.911392405,0.666666667,3.008745515,3.856945515,3.257745515,5998.559072
6,1.4478,4,0.9875,Tempest 2826-920Kv  Twin,6,8,6,100,14,2,24,4.8,31.53155572,21.0326401,4,3,1.392,2.911392405,0.666666667,2.971236429,3.819436429,3.220236429,5998.559072
7,1.4478,4,0.9875,Tempest 2820-970Kv  Twin,6,8,6,100,14,2,24,4.8,31.0635483,20.705438,4,3,1.392,2.911392405,0.666666667,2.911236429,3.759436429,3.160236429,5998.559072
8,1.4478,4,0.9875,BadAss 2826-690  Twin,6,11,8,100,13,3,24,4.8,31.04524536,21.61815449,3,3,1.381,2.911392405,0.666666667,2.982312518,3.982112518,3.231312518,5987.559072
9,1.4478,4,0.9875,BadAss 2826-690  Twin,6,11,8,100,13,3,24,4.8,31.5818919,21.77914845,3,3,1.381,2.911392405,0.666666667,3.008745515,4.008545515,3.257745515,5987.559072
10,1.4478,4,0.9875,Tempest 2826-920Kv  Twin,6,8,6,100,13,3,24,4.8,31.4936535,21.0326401,3,3,1.381,2.911392405,0.666666667,2.971236429,3.971036429,3.220236429,5987.559072
