Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra CM-4510/38 ,5.9999999999999991,310,16,5.5,22.199999999999999,5354,25.600000000000001,568.39999999999998,1266.713581984518,9.6162500000000009,27.899999999999999,1.6918103448275865,2.6299999999999999
Cobra CM-4510/38 ,5.9999999999999991,310,18,5.5,22.199999999999999,5061,33.700000000000003,748.20000000000005,962.30954290296711,12.07625,26.399999999999999,1.6140403635391605,2.6299999999999999
Cobra CM-2820/32 ,5.9999999999999991,350,14,5.5,22.199999999999999,6231,25,555,1297.2972972972973,8.3287499999999994,32.5,1.5006756756756756,2.34375
Cobra CM-4515/24 ,5.9999999999999991,325,18,5.5,22.199999999999999,5689,49.619999999999997,1101.5999999999999,653.59477124183013,16.408750000000001,29.600000000000001,1.489537944807553,2.895
Cobra CM-4515/24 ,5.9999999999999991,325,18,5.5,22.199999999999999,5689,24.809999999999999,550.79999999999995,653.59477124183013,8.2043750000000006,29.600000000000001,1.489537944807553,2.2974999999999999
Cobra CM-4012/30 ,5.9999999999999991,300,16,5.5,22.199999999999999,5695,34.280000000000001,761,946.12352168199732,11.305,29.699999999999999,1.485545335085414,2.32125
Cobra CM-4010/32 ,5.9999999999999991,350,13,5.5,22.199999999999999,6729,23.5,521.79999999999995,1379.8390187811424,7.6812500000000004,35,1.4720678420850901,2.2462499999999999
Cobra CM-3515/34 ,5.9999999999999991,385,14,5.5,22.199999999999999,6504,28.260000000000002,627.39999999999998,1147.5932419509086,9.1799999999999997,33.899999999999999,1.4631813834874083,2.5600000000000001
Cobra CM-4010/32 ,5.9999999999999991,350,14,5.5,22.199999999999999,6484,28.440000000000001,631.39999999999998,1140.3230915426038,9.2025000000000006,33.799999999999997,1.4574754513778905,2.2462499999999999
Cobra CM-3520/28 ,5.9999999999999991,350,16,5.5,22.199999999999999,5845,35.960000000000001,798.39999999999998,901.80360721442889,11.61375,30.399999999999999,1.454628006012024,2.7312500000000002
Cobra CM-4520/18 ,5.9999999999999991,310,18,5.5,22.199999999999999,5972,56.700000000000003,1258.8,571.9733079122974,18.108750000000001,31.100000000000001,1.4385724499523356,3.19875
Cobra CM-4520/18 ,5.9999999999999991,310,18,5.5,22.199999999999999,5972,28.350000000000001,629.39999999999998,571.9733079122974,9.0543750000000003,31.100000000000001,1.4385724499523356,2.4493749999999999
Cobra CM-2820/32 ,5.9999999999999991,350,16,5.5,22.199999999999999,5587,34.82,773,931.43596377749031,10.7675,29.100000000000001,1.3929495472186286,2.34375
Cobra CM-3520/28 ,5.9999999999999991,350,18,5.5,22.199999999999999,5425,45.68,1014,710.05917159763317,14.0825,28.300000000000001,1.3888067061143985,2.7312500000000002
Cobra CM-3520/28 ,5.9999999999999991,350,18,5.5,22.199999999999999,5425,22.84,507,710.05917159763317,7.0412499999999998,28.300000000000001,1.3888067061143985,2.2156250000000002
Cobra C-5320/22 ,5.9999999999999991,300,18,8,22.199999999999999,5926,62.899999999999999,1396.4000000000001,515.6115726152965,18.848749999999999,44.899999999999999,1.3498102262961902,3.8600000000000003
Cobra C-5320/22 ,5.9999999999999991,300,18,8,22.199999999999999,5926,31.449999999999999,698.20000000000005,515.6115726152965,9.4243749999999995,44.899999999999999,1.3498102262961902,2.7800000000000002
