Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
BadAss 2814-1560Kv  Twin,6.00,1560.00,6.00,5.50,22.20,28650.00,107.78,2392.80,300.90,3.64,66.69,0.15,1.13
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.00,6.00,22.20,25593.00,87.22,1936.20,371.86,3.11,64.99,0.16,1.11
Cobra CP-2814-1450  Twin,5.00,1450.00,6.00,6.00,18.50,25418.00,105.10,1944.20,370.33,3.16,64.55,0.16,1.13
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.50,6.00,22.20,25356.00,97.70,2169.00,331.95,3.41,64.41,0.16,1.11
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.00,6.00,18.50,25284.00,104.66,1936.20,371.86,3.03,64.23,0.16,1.11
BadAss 2315-880Kv  Twin,6.00,1310.00,6.00,6.00,22.20,25005.00,81.96,1819.20,395.78,3.04,63.52,0.17,1.07
Tempest 2826-1470Kv  Twin,6.00,1470.00,6.50,5.50,22.20,27006.00,104.26,2314.40,311.10,3.85,62.89,0.17,1.23
Tempest 2820-1460Kv  Twin,6.00,1460.00,6.50,5.50,22.20,26846.00,106.42,2362.60,304.75,3.81,62.49,0.16,1.17
Tempest 2814-1700Kv  Twin,6.00,1700.00,5.00,4.60,22.20,31438.00,98.44,2185.40,329.46,3.57,61.19,0.16,1.11
BadAss 2315-1630Kv  Twin,6.00,1630.00,5.00,4.60,22.20,31355.00,91.44,2029.80,354.71,3.56,61.06,0.18,1.08
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.00,5.50,22.20,26125.00,77.44,1719.00,418.85,3.09,60.84,0.18,1.11
Cobra C-2826-EF1  Twin,6.00,1200.00,6.50,6.00,22.20,23927.00,78.26,1737.60,414.36,3.14,60.75,0.18,1.24
Cobra C-2826-EF1-SS  Twin,6.00,1200.00,6.50,6.00,22.20,23927.00,78.26,1737.60,414.36,3.14,60.75,0.18,1.24
BadAss 2315-1630Kv  Twin,5.00,1630.00,6.00,5.50,18.50,25965.00,92.80,1716.80,419.38,3.09,60.43,0.18,1.08
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.00,5.50,18.50,25882.00,94.00,1739.20,413.98,3.03,60.26,0.17,1.11
Cobra CP-2814-1450  Twin,5.00,1450.00,6.00,5.50,18.50,25858.00,93.08,1722.00,418.12,3.14,60.21,0.18,1.13
BadAss 4520-830Kv ,6.00,830.00,9.00,9.00,22.20,15709.00,97.50,2164.50,166.32,3.22,59.85,0.15,1.24
BadAss 2820-1080  Twin,6.00,1080.00,7.00,7.00,22.20,20120.00,108.74,2413.80,298.28,4.19,59.63,0.17,1.19
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.50,5.50,22.20,25520.00,88.08,1955.20,368.25,3.40,59.41,0.17,1.11
